"Timestamp","1.  What is your gender? ","2. What age group do you fall under?","3. What class of seat do you typically travel in during your flights? ","4. During your flights, which devices did you use?  ","5. How frequently did you use each device during your flights?  ","6. Approximately how many megabytes of data did you use per flight for internet purposes?   ","7. Did you connect any USB devices to the system during your flights?  ","7.1. If yes, please specify the type of USB devices used (e.g., charging, data transfer)  ","8. Was your flight domestic or international?","9. What was the duration of your flight?  ","10. How often do you typically travel by air in a year? ","11. Do you have frequent flyer status with any airline?   ","12. What is the primary purpose of your recent air travel?  "
"2024/08/26 7:28:30 pm EEST","Male","18-24 years","Economy","Smartphone;Laptop","Occasionally","100-500 MB","No","","International","8-10 hours","Less than 5 times","Yes","Leisure"
"2024/08/26 7:33:56 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","0-100 MB","No","","International","8-10 hours","Less than 5 times","No","Leisure"
"2024/08/26 7:39:01 pm EEST","Female","18-24 years","Business","Smartphone","Occasionally","500-1000 MB","No","","International","8-10 hours","6-10 times","Yes","Leisure"
"2024/08/26 9:01:29 pm EEST","Female","18-24 years","Economy;Business","Smartphone","Frequently","500-1000 MB","Yes","Charging only ","International","8-10 hours","Around 10-16 ","Yes","Leisure"
"2024/08/26 9:18:02 pm EEST","Male","25-34 years","Economy","Smartphone;Tablet;Laptop","Frequently","0-100 MB","No","","Domestic","Less than 1 hour","6-10 times","No","Leisure"
"2024/08/26 9:21:20 pm EEST","Male","25-34 years","Economy","Smartphone","Occasionally","0-100 MB","Yes","Charging","Domestic","1-3 hours","Less than 5 times","No","Emergencies"
"2024/08/26 9:27:01 pm EEST","Female","18-24 years","Economy","Smartphone;Tablet","Frequently","500-1000 MB","No","","International","8-10 hours","Less than 5 times","No","Leisure"
"2024/08/26 9:28:49 pm EEST","Female","18-24 years","Economy","Smartphone","Occasionally","100-500 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","Yes","Leisure"
"2024/08/27 4:50:16 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","100-500 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/09/18 9:14:16 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/09/20 8:18:03 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/01 9:02:29 pm EEST","Female","18-24 years","Business","Laptop","Frequently","500-1000 MB","Yes","Charging ","International","8-10 hours","Less than 5 times","No","Business"
"2024/10/01 9:03:06 pm EEST","Male","25-34 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/01 9:11:20 pm EEST","Male","18-24 years","Economy","Smartphone","Rarely","0-100 MB","No","","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/01 9:22:15 pm EEST","Male","25-34 years","Business","Smartphone;Tablet;Laptop","Frequently","2GB ","No","","International","8-10 hours","Less than 5 times;6-10 times","No","Business;Leisure"
"2024/10/01 10:39:48 pm EEST","Female","18-24 years","Economy","No devices used","Rarely","I did not use any data","No","","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/01 11:05:53 pm EEST","Female","18-24 years","Economy","Smartphone","Frequently","100-500 MB","No","","Domestic","1-3 hours","6-10 times","Yes","Leisure"
"2024/10/08 9:11:39 pm EEST","Female","25-34 years","Economy","Laptop","Occasionally","500-1000 MB","Yes","Charging","Domestic","Less than 1 hour","Less than 5 times","No","Leisure"
"2024/10/08 9:13:21 pm EEST","Male","18-24 years","Economy","Smartphone","Occasionally","500-1000 MB","No","","Domestic","4-6 hours","Less than 5 times","No","Leisure"
"2024/10/08 9:15:58 pm EEST","Female","18-24 years","Economy","Laptop","Rarely","500-1000 MB","Yes","Charging","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/08 9:17:28 pm EEST","Female","25-34 years","Business","Laptop","Occasionally","100-500 MB","No","","Domestic","4-6 hours","Less than 5 times","No","Leisure"
"2024/10/08 9:19:12 pm EEST","Male","25-34 years","Business","Smartphone","Frequently","500-1000 MB","Yes","Charging","International","8-10 hours","Less than 5 times","Yes","Business"
"2024/10/08 9:20:21 pm EEST","Female","18-24 years","Economy","Smartphone","Rarely","100-500 MB","Yes","Charging","Domestic","1-3 hours","Less than 5 times","No","Leisure"
"2024/10/08 9:21:18 pm EEST","Female","18-24 years","Economy","Tablet","Occasionally","100-500 MB","No","","Domestic","4-6 hours","Less than 5 times","No","Leisure"
"2024/10/08 9:22:12 pm EEST","Male","25-34 years","First Class","Laptop","Frequently","500-1000 MB","Yes","Charging","International","8-10 hours","Less than 5 times","No","Business"
